::1 - - [04/Nov/2025 18:58:26] "GET /icon-cafe.svg HTTP/1.1" 304 -
::1 - - [04/Nov/2025 18:58:26] "GET /madrid-logo.png?v=2 HTTP/1.1" 304 -
::1 - - [04/Nov/2025 18:58:30] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 18:59:45] "GET / HTTP/1.1" 200 -
::1 - - [04/Nov/2025 19:00:15] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 19:00:23] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 19:00:37] "GET / HTTP/1.1" 200 -
::1 - - [04/Nov/2025 19:00:45] "GET /madrid-logo.png?v=2 HTTP/1.1" 304 -
::1 - - [04/Nov/2025 19:00:46] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 19:02:11] "GET / HTTP/1.1" 200 -
::1 - - [04/Nov/2025 19:02:15] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 19:02:20] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 19:02:24] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 19:03:40] "GET / HTTP/1.1" 200 -
::1 - - [04/Nov/2025 19:03:41] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 19:03:49] "GET /madrid-logo.png?v=2 HTTP/1.1" 304 -
::1 - - [04/Nov/2025 19:04:24] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 22:07:13] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 22:07:17] "GET /metro.geojson HTTP/1.1" 200 -
::1 - - [04/Nov/2025 22:07:17] "GET /icon-cafe.svg HTTP/1.1" 304 -
::1 - - [04/Nov/2025 22:07:17] "GET /barrios_with_density.geojson HTTP/1.1" 200 -
::1 - - [04/Nov/2025 22:07:17] "GET /madrid-logo.png?v=2 HTTP/1.1" 304 -
::1 - - [04/Nov/2025 22:09:15] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 22:10:44] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 22:10:45] "GET / HTTP/1.1" 304 -
::1 - - [04/Nov/2025 22:11:23] "GET / HTTP/1.1" 200 -
::1 - - [04/Nov/2025 22:11:26] "GET /icon-metro.png?v=2 HTTP/1.1" 200 -
::1 - - [04/Nov/2025 22:14:31] "GET / HTTP/1.1" 200 -
::1 - - [04/Nov/2025 22:14:35] "GET /icon-metro.png?v=2 HTTP/1.1" 304 -
::1 - - [04/Nov/2025 22:24:14] "GET / HTTP/1.1" 200 -
::1 - - [04/Nov/2025 22:24:18] "GET /icon-metro.png?v=2 HTTP/1.1" 304 -
::1 - - [04/Nov/2025 22:26:07] "GET / HTTP/1.1" 200 -
::1 - - [04/Nov/2025 22:26:10] "GET /icon-metro.png?v=2 HTTP/1.1" 304 -
::1 - - [04/Nov/2025 22:29:19] "GET / HTTP/1.1" 200 -
::1 - - [04/Nov/2025 22:29:22] "GET /icon-train.png?v=2 HTTP/1.1" 200 -
::1 - - [04/Nov/2025 22:29:22] "GET /icon-office.png?v=2 HTTP/1.1" 200 -
::1 - - [04/Nov/2025 22:29:22] "GET /icon-cart.png?v=2 HTTP/1.1" 200 -
