city_name,name,link,address,latitude,longitude,premium,awards_winner,featured_photo,website,instagram,facebook,date_published,date_modified
barcelona,The Miners Gran Via,https://europeancoffeetrip.com/cafe/miners-granvia-barcelona/,"Gran Via de les Corts Catalanes, 488/3",41.380356400,2.156743500,False,False,https://europeancoffeetrip.com/wp-content/uploads/city-guides/cafes/10812/3k3a1024.jpg,https://www.theminers.eu/,https://www.instagram.com/theminerscoffee/,https://www.facebook.com/theminerscoffee/,2023-10-02T11:38:31+00:00,2026-01-05T03:52:47+00:00
barcelona,Little Fern,https://europeancoffeetrip.com/cafe/littlefern-barcelona/,Carrer de Pere IV 168,41.402330500,2.197511600,False,False,https://europeancoffeetrip.com/wp-content/uploads/city-guides/cafes/2090/dscf0173.jpeg,https://littleferncafe.com/,https://www.instagram.com/littleferncafe/,https://facebook.com/littleferncafe,2020-02-27T17:51:47+00:00,2026-01-05T03:38:47+00:00
barcelona,El Noa Noa,https://europeancoffeetrip.com/cafe/elnoanoa-barcelona/,"C/ de Torrijos, 22",41.403043200,2.159278200,False,False,https://europeancoffeetrip.com/wp-content/uploads/city-guides/cafes/3829/elnoanoa-barcelona-2022-ig-1.jpg,https://elnoanoa.es/,https://instagram.com/eselnoanoa,,2022-05-05T13:39:09+00:00,2026-01-05T03:44:50+00:00
barcelona,Mitzi Coffee & Brunch,https://europeancoffeetrip.com/cafe/mitzicoffee-barcelona/,"Carrer d'en Blanco, 5",41.375795900,2.134603600,False,False,https://europeancoffeetrip.com/wp-content/uploads/city-guides/cafes/19508/mitzi_ect.jpg,https://linktr.ee/mitzi_coffee,https://www.instagram.com/mitzi_coffee,,2025-01-10T08:00:25+00:00,2026-01-05T03:58:46+00:00
barcelona,Austral Coffee Bar,https://europeancoffeetrip.com/cafe/austral-coffeebar-barcelona/,"C. de Viladomat, 140",41.381655500,2.155020000,False,False,https://europeancoffeetrip.com/wp-content/uploads/city-guides/cafes/5305/96d6fbf2-5563-47b7-89ed-fd110cdce743_1_105_c.jpeg,https://www.instagram.com/australcoffeebar/,https://www.instagram.com/australcoffeebar,,2022-08-22T16:20:07+00:00,2026-01-05T03:47:13+00:00
barcelona,El Magnifico,https://europeancoffeetrip.com/cafe/elmagnifico-barcelona/,Argentería 64,41.383457500,2.180967800,False,False,https://europeancoffeetrip.com/wp-content/uploads/city-guides/cafes/2087/elmagnifico-barcelona-2022-ales-1.JPG,,,,,
barcelona,ÖSS Kaffe Barcelona,https://europeancoffeetrip.com/cafe/osskaffe-barcelona/,"C/ de Joaquín Costa, 26",41.382107300,2.166418600,False,False,https://europeancoffeetrip.com/wp-content/uploads/city-guides/cafes/7904/osskaffe-barcelona.jpeg,,https://www.instagram.com/osskaffe,,2023-03-08T06:39:39+00:00,2026-01-05T03:50:13+00:00
barcelona,Origin.,https://europeancoffeetrip.com/cafe/origin-barcelona/,"Carrer de Manso, 17, L'Eixample",41.375960700,2.159449500,False,False,https://europeancoffeetrip.com/wp-content/uploads/city-guides/cafes/12670/screenshot-2024-02-23-at-11-37-38.png,,https://www.instagram.com/origin.bcn/,,2024-02-23T08:42:47+00:00,2026-01-05T03:53:38+00:00
barcelona,Apurado,https://europeancoffeetrip.com/cafe/apurado-barcelona/,Carrer de Roger de Flor 253,41.403158900,2.166784000,False,False,https://europeancoffeetrip.com/wp-content/uploads/city-guides/cafes/22065/img_5157.jpeg,,https://www.instagram.com/apuradocafe,,2025-05-13T08:54:26+00:00,2026-01-05T03:59:56+00:00
barcelona,Syra Coffee - El Clot,https://europeancoffeetrip.com/cafe/syracoffeeelclot-barcelona/,"C/ del Clot, 49",41.407796400,2.188030800,False,False,https://europeancoffeetrip.com/wp-content/uploads/city-guides/cafes/15642/elclot.jpg,https://syra.coffee/,https://www.instagram.com/syracoffee,,2024-07-22T12:19:21+00:00,2026-01-05T03:55:59+00:00
