hora,distrito,direccion,latitude,longitude,avg_count
11:00:00 AM,,Av. Albufera,40.397.872,-3.668.193,709.46
12:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,736.42
1:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,723.51
2:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,666.49
3:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,650.77
4:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,728.49
5:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,871.65
6:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,973.35
7:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,933.79
8:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,764.89
9:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,541.69
10:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,319.36
11:00:00 PM,,Av. Albufera,40.397.872,-3.668.193,187.78
12:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,11.37
1:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,4.18
2:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,2.64
3:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,2.15
4:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,2.40
5:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,4.31
6:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,14.67
7:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,52.28
8:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,102.52
9:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,197.83
10:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,222.34
11:00:00 AM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,363.67
12:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,431.85
1:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,362.93
2:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,219.29
3:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,148.35
4:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,173.43
5:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,289.55
6:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,369.98
7:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,322.15
8:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,211.13
9:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,101.63
10:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,41.41
11:00:00 PM,,"Avenida de la Osa Mayor 69, 28023 Madrid",40.459.008,-3.783.391,20.71
12:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,87.38
1:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,41.80
2:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,22.67
3:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,19.01
4:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,23.63
5:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,80.56
6:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,192.42
7:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,396.20
8:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,741.81
9:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,"1,127.24"
10:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,"1,834.43"
11:00:00 AM,,C. La Laguna 26,40.390.000,-3.742.094,"1,787.92"
12:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,"1,629.88"
1:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,"1,592.03"
2:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,"1,048.58"
3:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,922.43
4:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,"1,140.40"
5:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,"1,847.99"
6:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,"2,138.64"
7:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,"1,928.05"
8:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,"1,125.95"
9:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,499.77
10:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,209.81
11:00:00 PM,,C. La Laguna 26,40.390.000,-3.742.094,127.35
12:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,366.58
1:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,215.21
2:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,223.81
3:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,180.09
4:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,140.13
5:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,115.25
6:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,93.90
7:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,222.07
8:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,409.66
9:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,484.71
10:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,704.54
11:00:00 AM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,"1,129.84"
12:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,"1,367.40"
1:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,"1,416.34"
2:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,"1,364.03"
3:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,"1,163.40"
4:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,"1,132.03"
5:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,"1,172.13"
6:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,"1,293.79"
7:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,"1,410.21"
8:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,"1,170.98"
9:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,882.29
10:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,637.88
11:00:00 PM,Centro,"Calle Alcalá 34, 28014 Madrid",40.418.256,-3.697.732,458.83
12:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,474.52
1:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,242.95
2:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,130.09
3:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,82.27
4:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,52.27
5:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,55.22
6:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,89.34
7:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,158.53
8:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,431.73
9:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,964.87
10:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"1,573.75"
11:00:00 AM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"2,084.04"
12:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"2,225.41"
1:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"2,237.54"
2:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"2,129.14"
3:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"2,130.88"
4:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"2,213.35"
5:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"2,148.21"
6:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"1,868.13"
7:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"1,698.26"
8:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"1,588.46"
9:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"1,433.45"
10:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,"1,198.67"
11:00:00 PM,Centro,Calle Arenal esquina San Martín,40.417.386,-3.707.141,852.34
12:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,173.21
1:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,129.36
2:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,97.82
3:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,84.91
4:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,79.82
5:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,113.45
6:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,231.08
7:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,376.53
8:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,509.30
9:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,679.78
10:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,454.70
11:00:00 AM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,437.11
12:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,446.47
1:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,487.65
2:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,533.77
3:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,573.70
4:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,591.48
5:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,627.28
6:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,650.82
7:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,592.80
8:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,541.54
9:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,494.58
10:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,434.36
11:00:00 PM,Centro,"Calle Atocha 95, 28012 Madrid",40.411.109,-3.696.471,299.84
12:00:00 AM,Centro,"Calle Bailén 10, 28013 Madrid",40.415.111,-3.713.569,575.13
