name,address,lat,lon,rating,reviewCount,website,openingHours,source_id,category,primaryType,fetchedAt,googleMapsUrl
BearrrFiled,"U Vysočanského pivovaru, 11, Praha 9",50.1085003,14.5083766,,,https://bearrrlife.cz/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.1085003,14.5083766"
The pilates room,,50.0773645,14.4612522,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0773645,14.4612522"
Euforie,,50.0933616,14.4507349,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0933616,14.4507349"
Fitness club,,50.103936,14.4795445,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.103936,14.4795445"
Xfitness Smíchov,,50.0613854,14.4106328,,,https://spartangym.cz/xfitness-smichov/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0613854,14.4106328"
Form factory,"Ostrovského, 464/6",50.0693359,14.4048565,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0693359,14.4048565"
Form Factory,,50.1382003,14.5021425,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.1382003,14.5021425"
Fabi Club,,50.1242742,14.4677398,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.1242742,14.4677398"
Pod-O-Gym,,50.0530877,14.428769,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0530877,14.428769"
Good Move,,50.0532207,14.4291327,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0532207,14.4291327"
Next.Move,"Rohanské nábřeží, 713/8, Praha 8",50.0966064,14.4606882,,,https://nextmove.cz/locations/karlin,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0966064,14.4606882"
DrFit,"Nevanova, 1063/46",50.0652323,14.3084163,,,https://drfit.cz/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0652323,14.3084163"
Body,,50.0753163,14.4561869,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0753163,14.4561869"
One Gym,,50.1109682,14.4392997,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.1109682,14.4392997"
Form Factory Fitness I. P. Pavlova,"Bělehradská, 222/128, Praha 2",50.0764049,14.4321629,,,https://www.formfactory.cz/klub/fitness-i-p-pavlova/,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0764049,14.4321629"
Form Factory Fitness Brumlovka,"Vyskočilova, 1410/1",50.0481497,14.4530658,,,,,,Gym,fitness_center,2026-05-08T16:28:24.626Z,"https://www.google.com/maps/search/50.0481497,14.4530658"
