euct_name,euct_lat,euct_lon,gp_rating,gp_reviewCount,gp_website,gp_openingHours,gp_source_id,gp_google_maps_url
Bucólico Café,40.4206889,-3.6982409,4.8,5331,https://bucolicocafe.es/,Monday: 8:30 AM – 7:00 PM; Tuesday: 8:30 AM – 7:00 PM; Wednesday: 8:30 AM – 7:00 PM; Thursday: 8:30 AM – 7:00 PM; Friday: 8:30 AM – 7:00 PM; Saturday: 8:30 AM – 7:00 PM; Sunday: 8:30 AM – 7:00 PM,ChIJISTRIt8pQg0RB6KnOzFMo1g,https://www.google.com/maps/place/?q=place_id:ChIJISTRIt8pQg0RB6KnOzFMo1g
Hola Coffee,40.4069806,-3.6990362,4.4,1109,http://hola.coffee/,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJz2ZMEywmQg0R0xzWYwP0OY8,https://www.google.com/maps/place/?q=place_id:ChIJz2ZMEywmQg0R0xzWYwP0OY8
Nomade Cafe,40.4106981,-3.6993678,4.6,3634,,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:30 AM – 6:00 PM; Sunday: 9:30 AM – 6:00 PM,ChIJ4xHrSyomQg0RfEnsLgGnOYU,https://www.google.com/maps/place/?q=place_id:ChIJ4xHrSyomQg0RfEnsLgGnOYU
ACID Café,40.4118739,-3.6949317,4,1941,http://www.acidcafe.es/,Monday: 8:30 AM – 8:00 PM; Tuesday: 8:30 AM – 8:00 PM; Wednesday: 8:30 AM – 8:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 8:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJaV4bNigmQg0RHjdJsDcc1zo,https://www.google.com/maps/place/?q=place_id:ChIJaV4bNigmQg0RHjdJsDcc1zo
NEPO CAFÉ,40.44451,-3.8081172,4.4,357,https://nepo.cafe/,Monday: 8:30 AM – 7:30 PM; Tuesday: 8:30 AM – 7:30 PM; Wednesday: 8:30 AM – 7:30 PM; Thursday: 8:30 AM – 7:30 PM; Friday: 8:30 AM – 7:30 PM; Saturday: 8:30 AM – 7:30 PM; Sunday: 8:30 AM – 3:00 PM,ChIJMbvaCeKHQQ0RV96uufhHAvE,https://www.google.com/maps/place/?q=place_id:ChIJMbvaCeKHQQ0RV96uufhHAvE
MUTO - Speciality Coffee,40.4447814,-3.7866631,4.7,254,https://www.mutomadrid.com/,Monday: 9:00 AM – 8:00 PM; Tuesday: 9:00 AM – 8:00 PM; Wednesday: 9:00 AM – 8:00 PM; Thursday: 9:00 AM – 8:00 PM; Friday: 9:00 AM – 8:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,ChIJY7JS76eHQQ0R07q-XycR8Fk,https://www.google.com/maps/place/?q=place_id:ChIJY7JS76eHQQ0R07q-XycR8Fk
SAMBU’S COFFEE 2 (café de especialidad y Brunch/specialty coffee and Brunch),40.4258616,-3.7100137,4.7,136,http://www.sambuscoffee.com/,Monday: 9:00 AM – 6:30 PM; Tuesday: 9:00 AM – 6:30 PM; Wednesday: 9:00 AM – 6:30 PM; Thursday: 9:00 AM – 6:30 PM; Friday: 9:00 AM – 6:30 PM; Saturday: 10:00 AM – 7:30 PM; Sunday: 10:00 AM – 7:30 PM,ChIJv_ODlN8pQg0RFvGCgaEfU3Y,https://www.google.com/maps/place/?q=place_id:ChIJv_ODlN8pQg0RFvGCgaEfU3Y
UNFLTRD Coffee,40.428062,-3.7094676,4.5,450,,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: 10:00 AM – 3:30 PM; Sunday: 10:00 AM – 3:30 PM,ChIJ-1e6wSopQg0R-pMFx5tIdmI,https://www.google.com/maps/place/?q=place_id:ChIJ-1e6wSopQg0R-pMFx5tIdmI
Siniestro Cafe,40.4261719,-3.7113935,4.9,411,https://www.instagram.com/siniestromadrid/,"Monday: 9:00 AM – 2:00 PM, 4:00 – 7:00 PM; Tuesday: 9:00 AM – 2:00 PM, 4:00 – 8:00 PM; Wednesday: 9:00 AM – 2:00 PM, 4:00 – 8:00 PM; Thursday: 9:00 AM – 2:00 PM, 4:00 – 8:00 PM; Friday: 9:00 AM – 2:00 PM, 4:00 – 8:00 PM; Saturday: 10:00 AM – 2:00 PM, 4:00 – 8:00 PM; Sunday: 10:00 AM – 2:00 PM, 4:00 – 8:00 PM",ChIJR98VwqYpQg0RkuEz-BQ35EY,https://www.google.com/maps/place/?q=place_id:ChIJR98VwqYpQg0RkuEz-BQ35EY
Logic Coffee-Café de Especialidad y Babo Té-Specialty coffee-Milk tea-Mochi,40.4362736,-3.7129341,5,180,,Monday: 9:30 AM – 8:30 PM; Tuesday: 9:30 AM – 8:30 PM; Wednesday: 9:30 AM – 5:30 PM; Thursday: 9:30 AM – 5:00 PM; Friday: 9:30 AM – 8:30 PM; Saturday: 9:30 AM – 8:30 PM; Sunday: 10:00 AM – 7:30 PM,ChIJL0zieNQpQg0R8pmHo54j3E0,https://www.google.com/maps/place/?q=place_id:ChIJL0zieNQpQg0R8pmHo54j3E0
