name,address,lat,lon,rating,reviewCount,website,openingHours,source_id,category,primaryType,fetchedAt,googleMapsUrl
Basic-Fit,"C. de San Romualdo, 26, San Blas-Canillejas, 28037 Madrid, Spain",40.4381371,-3.6220239999999997,4,962,https://www.basic-fit.com/es-es/clubs/basic-fit-madrid-san-romualdo-e1265a17f1fe49a086edf89fd115b81f.html?utm_medium=yext&utm_source=gmb,Monday: 7:00 AM – 10:30 PM; Tuesday: 7:00 AM – 10:30 PM; Wednesday: 7:00 AM – 10:30 PM; Thursday: 7:00 AM – 10:30 PM; Friday: 7:00 AM – 10:30 PM; Saturday: 8:00 AM – 9:00 PM; Sunday: 8:00 AM – 9:00 PM,ChIJo3Y8MocvQg0RxaP10mGL8ww,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJo3Y8MocvQg0RxaP10mGL8ww
DASAN FITNESS,"C. del Lago Van, 27, local b, Vicálvaro, 28032 Madrid, Spain",40.4056522,-3.6065481,5,89,http://www.gimnasiodasan.com/,Monday: 8:00 AM – 10:30 PM; Tuesday: 8:00 AM – 10:30 PM; Wednesday: 8:00 AM – 10:30 PM; Thursday: 8:00 AM – 10:30 PM; Friday: 8:00 AM – 10:30 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 3:00 PM,ChIJ1YGCRR0lQg0RHhTmvOM_kA8,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ1YGCRR0lQg0RHhTmvOM_kA8
Kamus Barbell Club,"C. de Miguel Fleta, 13, San Blas-Canillejas, 28037 Madrid, Spain",40.4319795,-3.631175,4.4,133,,Monday: 7:00 AM – 10:00 PM; Tuesday: 7:00 AM – 10:00 PM; Wednesday: 7:00 AM – 10:00 PM; Thursday: 7:00 AM – 10:00 PM; Friday: 7:00 AM – 10:00 PM; Saturday: 10:00 AM – 1:00 PM; Sunday: 10:00 AM – 1:00 PM,ChIJ5cyfYOwvQg0Rc4vbe10JP7k,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ5cyfYOwvQg0Rc4vbe10JP7k
Cubo Gym Portazgo,"C. Tossa, 5, Puente de Vallecas, 28038 Madrid, Spain",40.395168,-3.6473833,4.9,160,,Monday: 10:00 AM – 7:00 PM; Tuesday: 10:00 AM – 7:00 PM; Wednesday: 10:00 AM – 7:00 PM; Thursday: 10:00 AM – 7:00 PM; Friday: 10:00 AM – 7:00 PM; Saturday: 10:00 AM – 7:00 PM; Sunday: 9:00 AM – 7:00 PM,ChIJ79RUDQAlQg0R9bmFxc5rGCI,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ79RUDQAlQg0R9bmFxc5rGCI
Gimnasio Olympo,"C. de San Claudio, 148, Puente de Vallecas, 28038 Madrid, Spain",40.388981699999995,-3.6400091000000003,4.9,91,,Monday: 9:30 AM – 10:00 PM; Tuesday: 9:30 AM – 10:00 PM; Wednesday: 9:30 AM – 10:00 PM; Thursday: 9:30 AM – 10:00 PM; Friday: 9:30 AM – 10:00 PM; Saturday: 10:00 AM – 1:00 PM; Sunday: Closed,ChIJ2SMMtbglQg0R_y8xn8bnj9g,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ2SMMtbglQg0R_y8xn8bnj9g
DT Power Center,"C. de Julián Camarillo, 38, San Blas-Canillejas, 28037 Madrid, Spain",40.4362662,-3.6222552,4.8,78,http://dtpowercenter.com/,Monday: 8:00 AM – 10:00 PM; Tuesday: 8:00 AM – 10:00 PM; Wednesday: 8:00 AM – 10:00 PM; Thursday: 8:00 AM – 10:00 PM; Friday: 8:00 AM – 10:00 PM; Saturday: 9:00 AM – 3:00 PM; Sunday: 9:00 AM – 3:00 PM,ChIJZ140SM8vQg0RJ9aEv-5q0hc,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJZ140SM8vQg0RJ9aEv-5q0hc
Basic-Fit,"C. de Benjamín Palencia, 27, Puente de Vallecas, 28038 Madrid, Spain",40.39495540000001,-3.6462582,4.1,432,https://www.basic-fit.com/es-es/clubs/basic-fit-madrid-benjam%C3%ADn-palencia-350e0c6de3134f88a27bc8bc752f24cb.html?utm_medium=yext&utm_source=gmb,Monday: 6:00 AM – 12:00 AM; Tuesday: 6:00 AM – 12:00 AM; Wednesday: 6:00 AM – 12:00 AM; Thursday: 6:00 AM – 12:00 AM; Friday: 6:00 AM – 12:00 AM; Saturday: 8:00 AM – 9:00 PM; Sunday: 8:00 AM – 9:00 PM,ChIJtUSOZMElQg0RTBXF8GBi-n0,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJtUSOZMElQg0RTBXF8GBi-n0
Sideropolis,"C. de Ascao, 41, Cdad. Lineal, 28017 Madrid, Spain",40.430933499999995,-3.6397511999999996,4.6,139,http://sideropolis.es/,"Monday: 9:00 AM – 1:30 PM, 4:30 – 9:30 PM; Tuesday: 9:00 AM – 1:30 PM, 4:30 – 9:30 PM; Wednesday: 9:00 AM – 1:30 PM, 4:30 – 9:30 PM; Thursday: 9:00 AM – 1:30 PM, 4:30 – 9:30 PM; Friday: 9:00 AM – 1:30 PM, 4:30 – 9:30 PM; Saturday: 10:00 AM – 2:00 PM; Sunday: Closed",ChIJ9Y4MR-qHZUARXAhPY-epWRw,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ9Y4MR-qHZUARXAhPY-epWRw
Gym&co,"C. de Alcorisa, 41, local 5 y 6, Hortaleza, 28043 Madrid, Spain",40.462282599999995,-3.6396613999999996,5,47,,"Monday: 8:00 AM – 2:00 PM, 4:00 – 11:00 PM; Tuesday: 8:00 AM – 2:00 PM, 4:00 – 11:00 PM; Wednesday: 8:00 AM – 2:00 PM, 4:00 – 11:00 PM; Thursday: 8:00 AM – 2:00 PM, 4:00 – 11:00 PM; Friday: 8:00 AM – 2:00 PM, 4:00 – 11:00 PM; Saturday: Closed; Sunday: Closed",ChIJhW4ojqgvQg0RFT5Q99JlVuQ,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJhW4ojqgvQg0RFT5Q99JlVuQ
Nine Fitness Cañaveral,"Av. de Miguel Delibes, 15, Vicálvaro, 28052 Madrid, Spain",40.4069229,-3.5628740999999997,4.2,73,https://9fcanaveral.com/,Monday: 6:00 AM – 10:30 PM; Tuesday: 6:00 AM – 10:30 PM; Wednesday: 6:00 AM – 10:30 PM; Thursday: 6:00 AM – 10:30 PM; Friday: 6:00 AM – 10:30 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 10:00 AM – 3:00 PM,ChIJ9a5KB7M7Qg0RN--Z5grBC9M,Gym,gym,2026-02-05T10:47:00.973Z,https://www.google.com/maps/place/?q=place_id:ChIJ9a5KB7M7Qg0RN--Z5grBC9M
