name,address,lat,lon,rating,reviewCount,website,openingHours,source_id,category,primaryType,fetchedAt,googleMapsUrl
POVfood Potraviny - MiniMarket,"Knovízská 2, 149 00 Praha 11-Chodov, Czechia",50.0403551,14.500181399999999,4.6,118,,Monday: 8:00 AM – 8:30 PM; Tuesday: 8:00 AM – 8:30 PM; Wednesday: 8:00 AM – 8:30 PM; Thursday: 8:00 AM – 8:30 PM; Friday: 8:00 AM – 8:30 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJUz1ezdqTC0cRsUbAYxVIKAo,Regular Cafe,grocery_store,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJUz1ezdqTC0cRsUbAYxVIKAo
KOFI KOFI,"Chodov, 148 00 Prague 11, Czechia",50.031151300000005,14.491752299999998,3.7,3,,Monday: 7:30 AM – 6:00 PM; Tuesday: 7:30 AM – 6:00 PM; Wednesday: 7:30 AM – 6:00 PM; Thursday: 7:30 AM – 6:00 PM; Friday: 7:30 AM – 6:00 PM; Saturday: 8:30 AM – 5:00 PM; Sunday: 8:30 AM – 5:00 PM,ChIJz-N0PQCTC0cR-jf0n9oJ6os,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJz-N0PQCTC0cR-jf0n9oJ6os
Hippo Café - Pražírna kávy,"SAPA, 142 00 Praha-Praha-Libuš, Czechia",50.0039041,14.474403599999999,4.8,226,https://www.hippocafe.cz/,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,ChIJmebdhH2RC0cRxVaTJ7liO1U,Regular Cafe,cafe,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJmebdhH2RC0cRxVaTJ7liO1U
Minimum Waste Chodov,"Roztylská 2321/19 Westfield, 148 00 Praha 11-Chodov, Czechia",50.032170099999995,14.490331300000001,,,https://shop.minimumwaste.eu/,Monday: 9:00 AM – 9:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 9:00 PM; Saturday: 9:00 AM – 9:00 PM; Sunday: 9:00 AM – 9:00 PM,ChIJv4QtT1iTC0cRwXskOQvcEZs,Regular Cafe,food_store,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJv4QtT1iTC0cRwXskOQvcEZs
Kavárna Bílá vrána,"Donovalská 2222, 149 00 Praha 11-Chodov, Czechia",50.0364721,14.506598799999999,4.8,4,https://kavarnabilavrana.cz/domains/kavarnabilavrana.cz/kavarna-stepanska,Monday: 1:00 – 4:30 PM; Tuesday: 1:00 – 4:30 PM; Wednesday: 1:00 – 4:30 PM; Thursday: 1:00 – 4:30 PM; Friday: 1:00 – 4:30 PM; Saturday: 1:00 – 4:30 PM; Sunday: Closed,ChIJiWlMXgCTC0cRzM2ag-ZY6P8,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJiWlMXgCTC0cRzM2ag-ZY6P8
Happy Rabbit Café & Bistro,"Plzeňská 1125/160, 150 00 Praha 5-Smíchov, Czechia",50.0706778,14.3764989,4.8,109,http://www.happyrabbit.cz/,Monday: 8:30 AM – 6:00 PM; Tuesday: 8:30 AM – 6:00 PM; Wednesday: 8:30 AM – 6:00 PM; Thursday: 8:30 AM – 9:00 PM; Friday: 8:30 AM – 9:00 PM; Saturday: 10:00 AM – 9:00 PM; Sunday: 10:00 AM – 9:00 PM,ChIJWzkOMQCVC0cRbrjKten24kU,Regular Cafe,bistro,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJWzkOMQCVC0cRbrjKten24kU
"Bylo, Nebylo Café","Musílkova 1311/5c, 150 00 Praha 5, Czechia",50.0687625,14.369447399999999,4.7,14,https://bylonebylo.cafe/,Monday: 9:00 AM – 7:00 PM; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 7:00 PM; Saturday: 9:00 AM – 7:00 PM; Sunday: 9:00 AM – 7:00 PM,ChIJucc1IXaVC0cRDB1vc64y1a4,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJucc1IXaVC0cRDB1vc64y1a4
Kofínno Café & Bar | Waltrovka,"Radlická 365/154, 158 00 Praha 5, Czechia",50.0567972,14.382074399999999,4.4,285,https://kofinno.cz/,Monday: 8:00 AM – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJmR5dxm2VC0cR5VcJ4Melyjc,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJmR5dxm2VC0cR5VcJ4Melyjc
Kafe ve stanici,"Evropská 810/136, 160 00 Praha 6-Vokovice, Czechia",50.0982772,14.362016999999998,5,136,,Monday: 6:00 AM – 6:00 PM; Tuesday: 6:00 AM – 6:00 PM; Wednesday: 6:00 AM – 6:00 PM; Thursday: 6:00 AM – 6:00 PM; Friday: 6:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,ChIJCZ8psdaVC0cR1NMqgXIP8dE,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJCZ8psdaVC0cR1NMqgXIP8dE
Basics Coffee,"Evropská 866, 160 00 Praha 6, Czechia",50.0981777,14.365391100000002,3.8,185,http://basicscoffee.cz/,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,ChIJvy_VEyuVC0cRI6dDbjnYZ0s,Regular Cafe,coffee_shop,2026-05-07T10:36:10.720Z,https://www.google.com/maps/search/?api=1&query=place&query_place_id=ChIJvy_VEyuVC0cRI6dDbjnYZ0s
